,Name,Team,Age,Height_cm,Weight_kg,Jersey_no,College,Games_played,Points_played,Posessions,Total scores,Assists,Goals,Blocks,+-,Completions,Cmp%,Yards,Throwing Yards,Receiving Yards,Offensive Effic,Hockey assists,Throwaways,Stalls,Drops,Calahans,Hucks,Huck completion %,Pulls,Offensive PP,Defensive PP,Minutes played
783,Hunter Taylor,DAL,,,,73,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
784,Isaac Lee,DC,,,,2,,2,27,20,1,0,1,1,0,7,,160,114,46,55.0,1,2,0,0,0,2,100.0,0,0,27,32
785,Ian Vilevac,PIT,,,,33,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
786,James Carr-Pries,TOR,,,,42,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
787,Jose Dasilva,PHI,,,,9,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
788,Jordan DeWitt,TB,,,,98,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
789,Jonah Erb,SLC,,,,99,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
790,Gabriel Hernandez,DAL,27,182.88,83.916,23,Stanford,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
791,Harris Cannon,BOS,,,,4,,1,14,3,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,14,14
792,Henry Phan,SEA,,,,78,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
793,Ishaan Dave,ATL,,,,91,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
794,Ian Sweeney,POR,,,,77,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
795,Isaac Woldemariam,SEA,,,,23,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
796,John Clyde,ATX,,157.48000000000002,77.112,52,University of Texas at Austin,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
797,Jacob Davis,PIT,,,,36,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
798,Jason Dick,DAL,,,,36,,3,34,20,1,1,0,0,0,19,95.0,166,141,25,35.0,0,1,0,0,0,0,,3,6,28,36
799,James Franklin,TB,,,,84,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
800,Jonas Golden,SEA,25,182.88,81.648,19,Western Washington University,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
801,James Highsmith,DET,,,,30,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
802,Jonah Kurman-Faber,BOS,,,,17,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
803,Jigo Lontoc,TB,,,,67,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
804,Jeff Nordgren,CAR,31,177.8,77.112,7,Appalachian State,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
805,Jacques Perivier,ATL,25,182.88,,21,Georgia College,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
806,Jakeem Polk,ATL,32,187.96,86.184,14,Wingate,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
807,Jake Steslicki,DET,,,,10,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
808,Jonah Taylor,OAK,,,,99,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
809,Jack Verzuh,SEA,,,,32,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
810,Jon Hallett,OTT,34,170.18,61.236,31,Brock University,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
811,Javier Isaza,TB,,,,50,,2,22,12,0,0,0,1,0,0,,36,0,36,,0,1,0,0,0,0,,0,6,16,19
812,Jonathan Lee,POR,,,,22,,10,195,131,11,8,3,2,0,124,89.21,1667,1156,511,36.64,11,13,0,0,0,1,33.33,0,49,146,206
813,Jonathan Mast,PIT,28,185.42,70.308,2,Homeschooled,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
814,Jack Park,TOR,,,,53,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
815,James Poe,ATL,,,,29,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
816,Jordan Smith,SEA,,,,40,,1,9,7,0,0,0,0,0,3,,-1,2,-3,,0,0,0,0,0,0,,0,0,9,12
817,Jay Talerman,BOS,,,,2,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
818,Jake Turcotte,TOR,,,,50,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
819,Jackson Vicek,PIT,,,,11,,1,12,3,0,0,0,0,0,1,,57,-6,63,,1,0,0,0,0,0,,0,1,11,8
820,Jack Wooldridge,DAL,30,,77.112,89,University of Texas at Dallas,2,21,8,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,21,25
821,Jack Ziemer,COL,,,,39,,1,9,5,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,9,6
822,Kyle Blaeuer,POR,,,,25,,3,20,6,0,0,0,0,0,3,,52,6,46,,1,0,0,0,0,0,,0,0,20,15
823,Kenta Kawaguchi,DC,,,,9,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
824,Kevin Lin,OAK,,,,7,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
825,Kevin Mirabal-Evans,PIT,,,,88,,1,12,1,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,12,10
826,Kevin Versteeg,DC,,,,51,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
827,Luka Govedic,BOS,,,,99,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
828,Leo Pierson,DC,27,180.34,70.7616,78,George Mason,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
829,Morey Averill,PHI,,,,14,,3,23,22,0,0,0,0,0,2,,62,-8,70,27.27,0,0,0,0,0,0,,0,1,22,34
830,Jake Worthington,ATX,21,190.5,79.38,81,University of Texas at Austin,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
831,Kolbe Bauer,ATX,,,,80,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
832,Kristian Johnson,MIN,26,177.8,81.648,15,University of Wisconsin-Eau Claire,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
833,Kushal Khangaonkar,OAK,,,,6,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
834,Kaplan Maurer,DAL,,185.42,72.576,2,Arkansas,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
835,Kuochuan Ponzio,POR,,,,23,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
836,Leo Decter,LA,,,,31,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
837,Luis Paz,TB,,,,53,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
838,Levi Tapper,COL,,,,12,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
839,Max Barowski,PIT,,,,90,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
840,Munir Ben Jemaa,TB,,,,71,,1,8,5,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,2,6,9
841,Michael Dillard,PIT,,,,65,,9,168,183,10,3,7,2,0,73,86.9,1189,296,893,43.17,5,11,0,1,0,0,0.0,0,123,45,192
842,Michael Huang,SD,,180.34,74.844,3,UCSD,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
843,Maxwell Hume,SD,28,182.88,79.38,9,San Diego State,9,127,88,5,2,3,2,0,19,70.37,580,236,344,42.05,3,6,0,1,0,2,66.67,0,3,124,144
844,Mason Kelley,DAL,,,,88,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
845,Michael Ntende,DET,,,,13,,2,4,4,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,1,0,4,4
846,Mario Rodriguez,TB,,,,74,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
847,Mark Whitton,DET,25,190.5,77.112,88,Grand Valley State University,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
848,Matt Wilken,DET,,,,43,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
849,Noah Backer,BOS,,,,5,,2,39,24,3,3,0,0,0,31,91.18,236,152,84,41.67,2,3,0,0,0,1,50.0,1,2,37,43
850,Matt Chambers,ATX,22,185.42,,35,UT Austin,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
851,Martin Gallant,OTT,19,167.64000000000001,63.504,33,,7,133,81,3,1,2,4,0,54,93.1,687,442,245,44.44,9,3,0,4,0,0,,0,33,100,145
852,Matt Hudspith,DAL,,,,26,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
853,Mohammed Judeh,TB,,,,31,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
854,Matt LeMaitre,DET,34,177.8,81.648,17,USMC,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
855,Mike Pannone,PIT,35,185.42,74.844,25,Pittsburgh,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
856,Mickey Walsh,MIN,,,,47,,1,11,8,0,0,0,0,0,2,,43,19,24,,0,0,0,0,0,0,,0,0,11,13
857,Morgan Wilbur,POR,,,,15,,2,30,13,0,0,0,1,0,6,,38,27,11,,0,0,0,1,0,0,,8,3,27,25
858,Matthew Wilson,CAR,31,180.34,77.112,34,Temple,1,13,4,0,0,0,0,0,1,,15,1,14,,0,0,0,0,0,0,,3,0,13,11
859,Nico Binuya,SEA,,,,41,,2,14,12,0,0,0,0,0,1,,10,5,5,,0,0,0,0,0,0,,0,0,14,17
860,Nathan Champoux,DET,,,,42,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
861,Nathan Johnson,LA,,,,28,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
862,Nicolas Leitmann-Niimi,COL,,,,33,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
863,Noah Nicol,MAD,,,,28,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
864,Nathan Ploeger,DET,,,,23,,9,85,47,2,0,2,1,0,16,,244,43,201,29.79,1,2,0,1,0,0,,3,15,70,71
865,Oakley Armstrong,DAL,,,,44,,1,9,3,0,0,0,0,0,1,,14,-1,15,,0,0,0,0,0,0,,0,0,9,9
866,Ocean Hines,SEA,,,,71,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
867,Philippe Bisson,MTL,24,182.88,79.38,3,College Saint-Jean-Vianney,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
868,Pablo Reimers,BOS,,,,40,,1,16,9,1,1,0,0,0,6,,43,50,-7,,0,1,0,0,0,0,,0,0,16,15
869,Pat Shriwise,CHI,35,187.96,83.916,4,Kansas State,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
870,Nathan Dandurand,MTL,,,,,,1,10,3,0,0,0,0,0,1,,12,5,7,,0,0,0,0,0,0,,0,0,10,10
871,Nate Kirchhofer,LA,36,187.96,,37,UC Santa Barbara,9,140,79,2,2,0,4,0,53,89.83,564,499,65,35.44,4,6,0,0,0,1,33.33,4,16,124,161
872,Nate Long,PHI,,,,52,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
873,Nick Phillips,IND,,,,25,,2,13,5,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,13,17
874,Noah Powell,ATX,,,,82,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
875,Oliver Feder,ATX,23,172.72,70.308,83,Tufts University,2,9,2,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,9,8
876,Owen Smith,ATX,,,,84,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
877,Pip Johnson,MAD,,,,91,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
878,Pavel Shering,OAK,,,,27,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
879,Ryan Humphrey,CAR,,,,27,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
880,Robert Jones,TB,,,,30,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
881,Ryan Turner,BOS,,,,10,,3,52,54,4,2,2,0,0,16,,293,102,191,46.3,3,3,0,1,0,1,50.0,0,23,29,58
882,Sam Fontaine,LA,31,180.34,,88,North Carolina-Asheville,7,124,77,9,6,3,2,0,58,82.86,679,400,279,41.56,8,11,0,0,0,3,33.33,2,24,100,142
883,Shane Heath,ATX,23,180.34,77.112,8,University of Texas at Austin,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
884,Steven Naji,ATX,,,,36,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
885,Saeed Semrin,COL,,,,10,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
886,Tom Annen,MAD,37,180.34,79.38,7,Wisconsin,3,48,71,2,2,0,1,0,81,93.1,606,526,80,36.62,2,3,0,0,0,0,0.0,0,48,0,70
887,Travis Carpenter,IND,29,182.88,77.112,37,Indiana Wesleyan,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
888,Tanner Halkyard,BOS,,,,4,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
889,Tyler Hustad,DAL,,,,16,,1,10,3,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,10,9
890,Ryan Tirner,BOS,,,,10,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
891,Santiago Acevedo,TB,,,,57,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
892,Stephen Grondin,DET,,,,64,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
893,Sebastien Lauzy,ATX,,,,25,,3,19,12,0,0,0,0,0,5,,158,41,117,,1,0,0,0,0,0,,0,0,19,25
894,Saaketh Palchuru,ATX,,,,10,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
895,Sam Tagle,CHI,22,170.18,61.236,,DePaul University,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
896,Tucker Bankston,DAL,,,,76,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
897,Tyler DeGirolamo,PHI,,,,8,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
898,Tre Hodge,TB,,,,35,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
899,Tucker Kalmus,SEA,,,,72,,5,75,44,4,3,1,1,0,36,87.8,390,216,174,40.91,2,5,0,0,0,0,0.0,13,7,68,79
900,Tucker Lemos,LA,,,,33,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
901,Thomas Maguire,ATX,,,,85,,2,24,14,1,0,1,1,0,1,,30,9,21,,0,2,0,0,0,0,,0,0,24,23
902,Tim Predmore,LA,25,,,61,Lehigh University,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
903,Ted Sither,DC,,,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
904,Tony Venneri,SEA,22,172.72,72.576,28,University of Washington,1,25,15,2,2,0,1,0,15,,132,109,23,,2,2,0,1,0,0,0.0,12,1,24,24
905,Vincent Lemieux,MTL,26,182.88,70.308,6,UQAM,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
906,Will Dickson,OTT,21,185.42,72.576,40,Queen's University,9,117,88,11,9,2,0,0,48,84.21,676,436,240,37.5,2,8,0,3,0,4,66.67,2,50,67,113
907,Wesley Miaw,DAL,,,,21,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
908,Zacharie Morneau,MTL,,,,8,,6,38,23,1,0,1,0,0,5,,80,17,63,26.09,0,1,0,0,0,0,0.0,0,0,38,51
909,Adam Grossberg,PHI,,,,42,,5,50,25,0,0,0,2,-1,22,84.62,268,70,198,44.0,1,3,0,0,0,0,0.0,3,2,48,60
910,Tommy Lin,SEA,26,175.26,77.112,33,"University of California, Berkeley",0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
911,TJ Martin,ATL,,,,93,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
912,Tanner Roberts,DAL,,,,,,2,19,6,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,19,19
913,Thomas Stanton,OTT,21,177.8,68.04,81,Windsor University,8,131,61,0,0,0,4,0,18,75.0,176,83,93,39.34,2,4,0,0,0,0,0.0,34,6,125,142
914,Vincent Gamache,MTL,34,190.5,90.72,,UQAR,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
915,Victor Pria,ATL,,,,88,,1,10,6,1,0,1,0,0,1,,55,6,49,,0,1,0,0,0,0,,0,0,10,12
916,Walter Kasprzycki,LA,,,,60,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
917,Zach Braun,MAD,,,,98,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0
918,Alex Curreri,BOS,,,,4,,1,11,4,0,0,0,0,-1,1,,14,-8,22,,0,1,0,0,0,0,,0,1,10,11
919,Allan Ndovu,OAK,,,,1,,2,23,17,0,0,0,1,-1,3,,38,16,22,,0,0,0,2,0,0,,0,0,23,25
920,Aidan Rogers,OAK,,,,17,,3,36,21,1,1,0,0,-1,11,,89,78,11,33.33,0,2,0,0,0,0,,9,1,35,41
921,Benjamin Horrisberger,BOS,,,,48,,2,34,22,1,0,1,1,-1,3,,85,-21,106,31.82,0,2,0,1,0,0,,0,0,34,38
922,Chris Hancock,POR,,,,9,,5,41,53,2,1,1,0,-1,52,96.3,280,383,-103,58.49,4,2,0,1,0,1,50.0,0,41,0,44
923,Chris Larberg,POR,,185.42,79.38,11,Oklahoma,2,38,12,0,0,0,0,-1,3,,91,43,48,,0,1,1,0,0,0,,0,3,35,22
924,Casey Thornton,PHI,20,182.88,79.38,18,Lower Merion High School,1,14,7,0,0,0,0,-1,4,,30,4,26,,0,1,0,0,0,0,,4,0,14,14
925,Dan Vandam,PIT,,,,73,,4,37,17,0,0,0,0,-1,9,,88,40,48,,1,1,0,0,0,0,0.0,0,4,33,37
926,Dan Young,POR,,,,5,,3,26,8,0,0,0,0,-1,2,,36,36,0,,0,1,0,0,0,0,,0,0,26,24
927,Eliott Heloir,MTL,22,185.42,,35,,7,120,89,7,7,0,4,-1,68,85.0,357,291,66,35.96,3,11,0,1,0,1,14.29,13,9,111,150
928,Ilya Yudkovich,BOS,,,,25,,8,121,79,4,3,1,0,-1,31,86.11,296,158,138,43.04,2,5,0,0,0,0,,33,2,119,144
929,Jonah Munoz,OTT,24,182.88,77.112,24,Algonquin College,8,88,50,2,1,1,1,-1,35,87.5,456,342,114,34.0,4,3,0,1,0,2,100.0,9,7,81,103
930,Bryan Dunbar,IND,,,,44,,1,11,4,0,0,0,0,-1,3,,33,33,0,,1,0,0,1,0,0,,0,0,11,13
931,Brent Lo,SEA,,,,4,,2,31,23,3,1,2,0,-1,9,,191,39,152,34.78,1,1,0,3,0,0,,14,11,20,33
932,Collin Hill,ATL,,,,25,,1,9,7,0,0,0,0,-1,1,,70,34,36,,1,0,0,1,0,0,,0,0,9,12
933,Chris Layden,ATX,23,182.88,79.38,77,University of Texas at Austin,1,12,5,0,0,0,0,-1,0,,3,0,3,,0,1,0,0,0,0,,0,0,12,9
934,Duncan Fitzgerald,DC,,,,88,,3,55,31,1,0,1,0,-1,22,88.0,124,44,80,45.16,2,2,0,0,0,0,0.0,0,0,55,54
935,Daniel Welkener,DAL,,,,48,,1,7,3,0,0,0,0,-1,0,,14,0,14,,0,1,0,0,0,0,,0,1,6,5
936,Elliot Hare,PIT,,,,18,,2,19,8,1,0,1,0,-1,4,,136,58,78,,1,1,0,1,0,0,0.0,0,1,18,19
937,Greg Ellis,OTT,34,180.34,79.38,30,Queen's University,9,193,156,14,8,6,3,-1,189,91.75,1900,1306,594,52.56,11,14,0,4,0,8,57.14,62,101,92,190
938,Jacob Lane,TB,28,180.34,66.6792,22,Central Florida,2,17,11,1,1,0,0,-1,12,,37,16,21,,1,0,0,2,0,0,,0,6,11,15
939,Matt Bennett,DAL,30,172.72,77.112,24,Texas A&M,3,51,45,5,5,0,2,-1,72,90.0,720,657,63,37.78,1,8,0,0,0,4,57.14,11,21,30,58
940,Max Kammerman,PIT,,,,44,,4,37,38,2,1,1,0,-1,28,93.33,78,189,-111,21.05,2,2,0,1,0,1,100.0,1,5,32,52
941,Matt Miller,LA,23,180.34,,20,Cal Poly San Luis Obispo,8,183,220,28,17,11,1,-1,270,89.7,3231,2289,942,46.82,16,29,0,1,0,5,71.43,0,164,19,213
942,Nam Ho,TOR,,,,55,,1,12,10,0,0,0,0,-1,7,,24,13,11,,1,0,0,1,0,0,,0,4,8,16
943,Nick Loughran,ATX,,,,20,,2,17,15,0,0,0,1,-1,7,,50,47,3,,1,1,0,1,0,0,,0,0,17,20
944,Nick Vogt,MIN,,,,8,,1,4,6,0,0,0,0,-1,3,,6,-7,13,,0,1,0,0,0,0,,0,4,0,6
945,Peyton Schock,DET,,,,12,,1,2,2,0,0,0,0,-1,0,,0,0,0,,0,0,0,1,0,0,,0,1,1,1
946,Robert Lewis,ATX,31,180.34,72.576,91,Texas A&M,1,14,13,1,0,1,0,-1,10,,47,35,12,,0,2,0,0,0,0,,9,2,12,21
947,Sam Plasman,LA,35,180.34,,26,Colorado State University,3,27,12,0,0,0,0,-1,2,,33,9,24,,0,0,0,1,0,0,,0,0,27,32
948,Taylor Barton,SLC,,,,11,,14,244,172,12,9,3,6,-1,179,90.4,1356,1343,13,48.84,19,18,0,1,0,2,25.0,150,13,231,259
949,Zubair Abdulla,LA,35,182.88,,63,University of Illinois,4,67,89,3,3,0,0,-1,148,96.1,1146,790,356,58.43,8,4,0,0,0,0,0.0,0,67,0,79
950,Malachi Marshall,DET,,,,2,,8,80,41,0,0,0,3,-1,15,75.0,126,41,85,26.83,1,3,0,1,0,0,0.0,0,1,79,84
951,Marc Sands,PHI,,180.34,79.38,41,Penn State,10,117,73,1,1,0,4,-1,55,91.67,343,424,-81,41.1,3,4,0,2,0,2,66.67,21,11,106,141
952,Nick Longo,CHI,26,180.34,72.576,,Case Western Reserve University,3,23,21,0,0,0,0,-1,4,,47,7,40,52.38,1,0,0,1,0,0,,0,10,13,24
953,Nick Redmond,POR,,,,33,,2,20,11,0,0,0,0,-1,11,,186,66,120,,0,1,0,0,0,0,,0,2,18,19
954,Paul Hooley,MTL,,,,60,,1,4,3,0,0,0,0,-1,3,,41,20,21,,0,1,0,0,0,0,,0,1,3,2
955,Robert Hausmann,ATX,,,,99,,4,32,23,2,1,1,1,-1,6,,73,14,59,30.43,0,1,0,3,0,0,,0,0,32,40
956,Sebastian Brauer,MIN,,,,9,,2,34,20,0,0,0,0,-1,14,,107,56,51,60.0,0,1,0,0,0,0,,0,0,34,29
957,Sam Warrick,POR,,,,97,,9,172,97,1,1,0,3,-1,42,87.5,352,169,183,32.99,1,5,0,0,0,0,,21,31,141,161
958,Will Frolich,CHI,27,177.8,74.844,36,Northwestern University,6,70,52,3,0,3,1,-1,15,,317,86,231,46.15,2,3,0,2,0,0,,0,1,69,76
959,Zach Kieffer,CHI,30,190.5,74.844,15,Eastern Illinois University,3,22,8,0,0,0,0,-1,3,,39,8,31,,2,1,0,0,0,0,,0,0,22,19
960,André Arsenault,MTL,27,187.96,81.648,13,Université de Montréal,1,9,10,0,0,0,0,-2,1,,20,14,6,,0,0,0,2,0,0,,0,0,9,17
961,Adam Novak,PHI,,,,20,,2,14,18,1,1,0,0,-2,11,,88,10,78,,0,3,0,0,0,0,,5,2,12,23
962,Caleb Posey,TB,,,,37,,3,21,12,0,0,0,1,-2,2,,72,18,54,,0,3,0,0,0,0,,0,1,20,20
963,Justin Cheung,TOR,25,175.26,,11,York University,9,80,47,2,1,1,0,-2,20,86.96,137,120,17,42.55,1,3,0,1,0,0,,0,9,71,98
964,Khirode Robertson,OTT,21,185.42,79.38,8,University of Ottawa,9,67,39,2,2,0,1,-2,6,,162,47,115,25.64,0,4,0,1,0,0,,0,9,58,72
965,Mitchell Sayasene,OAK,,,,56,,4,55,34,3,2,1,0,-2,26,83.87,413,259,154,44.12,2,4,0,1,0,1,33.33,1,8,47,57
966,Ryan Ntende,DET,,,,22,,1,6,5,0,0,0,0,-2,0,,0,0,0,,0,0,0,2,0,0,,0,0,6,7
967,Sascha Vogel,TB,,,,26,,3,19,18,0,0,0,0,-2,6,,145,114,31,,2,1,0,1,0,2,100.0,0,12,7,18
968,Thomas Duplaix,MTL,29,180.34,79.38,43,Sherbrooke,11,148,136,9,6,3,2,-2,142,90.45,1365,1090,275,42.65,7,12,0,1,0,2,66.67,0,85,63,177
969,Ian Ladner,LA,28,182.88,,21,UC Santa Barbara,3,60,79,1,1,0,0,-3,39,88.64,207,12,195,46.84,0,4,0,0,0,0,,0,60,0,67
970,Austin Kelly,POR,,,,26,,9,192,239,20,17,3,2,-2,301,91.49,3209,2874,335,51.46,25,24,1,0,0,14,73.68,0,190,2,193
