,Name,Team,Age,Height_cm,Weight_kg,Jersey_no,College,Games_played,Points_played,Posessions,Total scores,Assists,Goals,Blocks,+-,Completions,Cmp%,Yards,Throwing Yards,Receiving Yards,Offensive Effic,Hockey assists,Throwaways,Stalls,Drops,Calahans,Hucks,Huck completion %,Pulls,Offensive PP,Defensive PP,Minutes played
396,Luke Huffman,IND,,,,34,,11,158,61,8,2,6,2,8,47,97.92,340,264,76,67.21,3,0,0,2,0,0,,0,5,153,154
397,Marcus Thaw,DC,30,182.88,79.8336,66,Penn State,8,130,67,5,3,2,4,8,50,98.04,371,395,-24,61.19,2,1,0,0,0,0,,26,2,128,134
398,Scott Hearne,CHI,25,185.42,77.112,6,Iowa State,8,94,67,8,6,2,5,8,49,90.74,606,354,252,50.75,5,5,0,0,0,3,75.0,47,0,94,89
399,Zach Slayton,ATX,,177.8,70.308,34,University of Texas at Austin,5,65,50,8,0,8,2,8,38,97.44,555,187,368,70.0,4,1,0,1,0,0,,13,25,40,74
400,Alexander Belfiore,SEA,,,,26,,4,77,75,11,4,7,0,7,77,93.9,1112,645,467,46.67,5,4,0,0,0,2,100.0,0,46,31,71
401,Austin Lillis,PHI,26,177.8,74.844,3,West Chester University,10,134,92,6,0,6,3,7,44,93.62,540,120,420,43.48,3,2,0,0,0,0,,23,26,108,164
402,Andrew Roy,MIN,,,,32,,12,238,294,31,25,6,3,7,542,95.59,5200,4345,855,57.14,42,23,0,4,0,6,50.0,3,214,24,252
403,Chris Mazur,SD,,182.88,79.38,39,University of Miami,6,121,110,13,10,3,3,7,107,90.68,1120,788,332,50.0,10,8,0,1,0,3,50.0,49,49,72,130
404,Carson Wilder,DAL,,182.88,72.576,9,Texas Tech,7,144,184,24,14,10,0,7,156,90.17,1763,1032,731,46.2,18,15,0,2,0,9,64.29,0,144,0,163
405,Dillon Larberg,DAL,,182.88,72.576,11,Texas,2,41,28,6,6,0,4,7,34,89.47,478,422,56,50.0,3,3,1,0,0,3,60.0,2,16,25,36
406,Jacob Clary,TB,28,172.72,72.576,11,Florida Tech,10,135,81,6,1,5,5,7,19,86.36,505,70,435,39.51,4,3,0,1,0,0,,0,11,124,158
407,Jaime Perez,SW,,,,8,,10,197,216,26,20,6,3,7,273,91.3,2793,1748,1045,43.52,6,22,0,0,0,14,63.64,7,163,34,225
408,Logan Diehl,TB,,,,,,6,115,122,7,4,3,2,7,29,93.55,604,116,488,31.97,3,1,0,1,0,0,,1,60,55,127
409,Matt Johnson,NY,25,185.42,83.916,0,Colby College,1,17,11,4,0,4,3,7,5,,85,-18,103,,0,0,0,0,0,0,,0,0,17,16
410,Andrew Li,CAR,,,,5,,8,103,66,8,3,5,3,7,76,93.83,478,331,147,51.52,6,3,0,1,0,0,,0,0,103,133
411,Ashton Paulus,OAK,,,,13,,6,95,66,6,3,3,4,7,33,94.29,723,194,529,51.52,2,2,0,1,0,1,50.0,1,24,71,94
412,Chris Chan,TOR,,182.88,,90,McMaster University,12,214,161,7,1,6,3,7,149,97.39,1105,737,368,39.75,8,2,2,1,1,0,0.0,0,85,129,244
413,Cody McInnis,BOS,,,,30,,8,153,166,13,6,7,2,7,80,88.89,1042,417,625,50.6,10,8,0,0,0,1,50.0,19,121,32,146
414,Dustin Damiano,PHI,33,180.34,81.648,0,Messiah College,10,181,245,16,11,5,3,7,234,94.74,2377,1589,788,53.06,27,11,0,1,0,5,71.43,0,181,0,206
415,Eric Hurd,LA,,,,36,,3,49,63,7,2,5,1,7,13,,330,58,272,50.79,0,1,0,0,0,1,100.0,0,43,6,58
416,John Jones,CHI,32,177.8,65.772,85,Indiana University - Bloomington,12,156,91,2,0,2,6,7,10,,195,32,163,53.85,1,1,0,0,0,0,,0,2,154,159
417,John Stubbs,ATL,,,,19,,2,40,41,9,3,6,0,7,29,90.63,647,290,357,60.98,2,2,0,0,0,2,66.67,0,33,7,44
418,Martin Bustamante,PIT,,170.18,,85,University at Buffalo,9,117,75,11,6,5,2,7,95,95.0,929,770,159,48.0,3,4,0,2,0,1,100.0,0,31,86,128
419,Matt McDonald,TB,26,,,66,University of Manitoba,11,117,113,14,3,11,1,7,50,90.91,795,136,659,35.4,0,5,0,3,0,0,0.0,0,78,39,128
420,Patrick Dougherty,ATL,30,182.88,,99,Loyola,4,60,47,8,5,3,1,7,51,96.23,744,469,275,59.57,7,2,0,0,0,2,100.0,4,12,48,71
421,Rhys Gretsch,LA,24,180.34,,81,NCSU/UCSB,8,100,61,13,10,3,3,7,69,87.34,989,671,318,39.34,2,9,0,0,0,6,54.55,47,15,85,116
422,Tannon Hedges,TB,,,,17,,10,192,236,28,20,8,7,7,184,86.79,2634,1194,1440,39.41,12,22,1,6,0,11,68.75,1,171,21,239
